wine_upc,item_desc_truth,brand_family_truth,size_truth,color_truth,Period Descriptions,$,$ YA,9 Liter Equivs,9 Liter Equivs YA,Units,Units YA,Max Item %ACV Reach Where Dist WINE,Max Item %ACV Reach YA Where Dist WINE,$ Per Point of Max Item ACV,# Stores,# Stores Selling,$ per Store Selling,arp_truth,arp_ly_truth,prestige_truth
8811055127,MOET & CHANDON NECTAR 1.5L,MOET & CHANDON,1.5L,WHITE,Latest 52 Wks,31017.22,97825.74,37.38,124.51,224.00,747.00,0.00%,0.00%,319765.12,238866,71,435.05,$138.29,$130.95,
837582853009,CHAMPAGNE ANDRE CLOUET SPK CHAMPAGNE ROSE PINK BRUT FRANCE 1.5L,CHAMPAGNE ANDRE CLOUET,1.5L,PINK,Latest 52 Wks,30696.37,8639.17,95.67,26.17,574.00,157.00,0.00%,0.00%,1705353.89,238866,24,1279.02,$53.48,$55.03,
8175383347,MOET & CHANDON NECTAR ROSE 750ML,MOET & CHANDON,750ML,PINK,Latest 52 Wks,30670.57,77369.83,38.99,96.89,468.00,1163.00,0.00%,0.00%,3407841.22,238866,35,871.42,$65.56,$66.55,
76150381134,PAUL BARA SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,PAUL BARA,750ML,PINK,Latest 52 Wks,30557.18,31052.36,38.08,40.58,457.00,487.00,0.00%,0.00%,623615.92,238866,48,634.39,$66.86,$63.76,
8487818500,LAURENT-PERRIER GRAND SIECLE 750ML,LAURENT-PERRIER,750ML,WHITE,Latest 52 Wks,30393.59,103302.22,12.64,53.50,152.00,642.00,0.00%,0.00%,215557.40,238866,98,309.71,$200.36,$160.9,Prestige
8487819000,LAURENT-PERRIER LA CUVEE BRUT 375ML,LAURENT-PERRIER,375ML,WHITE,Latest 52 Wks,30236.39,50318.58,42.80,88.23,1027.00,2117.00,0.00%,0.00%,512481.17,238866,74,411.00,$29.44,$23.76,
827582877057,KRUG GRANDE CUVEE 750ML,KRUG,750ML,WHITE,Latest 52 Wks,29978.74,24753.76,10.42,9.50,125.00,114.00,0.00%,0.00%,1577828.42,238866,21,1427.56,$239.83,$217.14,Prestige
8723630215,CHARLES HEIDSIECK RSV SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,CHARLES HEIDSIECK,750ML,WHITE,Latest 52 Wks,29725.02,61720.33,40.10,84.41,481.00,1013.00,0.00%,0.00%,251906.97,238866,129,230.91,$61.77,$60.93,
347582895760,CHAMPAGNE VEUVE DOUSSOT SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,CHAMPAGNE VEUVE DOUSSOT,750ML,WHITE,Latest 52 Wks,29563.35,0.00,47.75,0.00,573.00,0.00,0.00%,0.00%,1285363.04,238866,38,777.98,$51.59,,
66750500009,CHARLES HEIDSIECK SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,CHARLES HEIDSIECK,750ML,WHITE,Latest 52 Wks,29550.67,38921.92,10.51,14.42,126.00,173.00,0.00%,0.00%,229074.95,238866,62,475.79,$234.27,$224.98,
326916000089,JOSEPH PERRIER SPK CHAMPAGNE BLANC DE NOIR WHITE BRUT CHAMPAGNE FRANCE 750ML,JOSEPH PERRIER,750ML,WHITE,Latest 52 Wks,29473.52,66892.82,29.00,69.58,348.00,835.00,0.00%,0.00%,467833.65,238866,130,226.02,$84.69,$80.11,
8175382545,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,29407.62,103931.17,6.50,27.33,78.00,328.00,0.00%,0.00%,1837976.25,238866,18,1633.76,$377.02,$316.86,Prestige
827582873668,LAURENT-PERRIER ROSE 1.5L,LAURENT-PERRIER,1.5L,PINK,Latest 52 Wks,29294.10,40287.05,25.17,37.33,151.00,224.00,0.00%,0.00%,1273656.52,238866,27,1084.97,$194.0,$179.85,
