Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
MOET & CHANDON ICE IMPRL SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381802,MOET & CHANDON,WHITE,750ML,Latest 4 Wks,690988.193,706261.414,837.608,894.379,10051.294,10732.544,0.02715,0.02792,254507.6217,261443.248,2633.465,262.3874602,TOTAL,261123,2847,251.98,,68.75,65.81,1.01%
MOET & CHANDON BRUT VNTG SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8811055240,MOET & CHANDON,PINK,750ML,Latest 52 Wks,9325353.037,11220252.44,11837.966,14515.988,142055.597,174191.859,0.11831,0.11858,788213.4255,260960.495,12354.35,754.8234458,TOTAL,260885,12230,767.25,,65.65,64.41,4.73%
MOET & CHANDON BRUT VNTG SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8811055240,MOET & CHANDON,PINK,750ML,Latest 26 Wks,3660428.741,4530011.42,4656.729,5807.685,55880.754,69692.226,0.09695,0.09702,377558.4055,261037.091,8830.742,414.5097593,TOTAL,260922,9226,389.09,,65.50,65.00,3.38%
MOET & CHANDON BRUT VNTG SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8811055240,MOET & CHANDON,PINK,750ML,Latest 13 Wks,1946849.139,2331928.292,2501.051,2972.546,30012.612,35670.558,0.07825,0.08049,248798.612,261185.275,6483.113,300.2954197,TOTAL,260997,6677,283.19,,64.87,65.37,2.48%
MOET & CHANDON BRUT VNTG SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8811055240,MOET & CHANDON,PINK,750ML,Latest 4 Wks,577324.937,637423.192,738.728,800.276,8864.742,9603.318,0.04406,0.04649,131031.5336,261443.248,3321.771,173.8003423,TOTAL,261123,3691,176.9,,65.13,66.38,1.27%
MOET & CHANDON NECTAR IMP SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8811055125,MOET & CHANDON,WHITE,750ML,Latest 52 Wks,8569239.778,9711028.7,11699.418,13643.97,140393.022,163727.648,0.0588,0.05858,1457353.704,260960.495,10014.892,855.6497442,TOTAL,260885,9985,853.26,,61.04,59.31,3.84%
MOET & CHANDON NECTAR IMP SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8811055125,MOET & CHANDON,WHITE,750ML,Latest 26 Wks,3908931.447,3834972.533,5200.212,5358.995,62402.545,64307.947,0.04779,0.04712,817939.2021,261037.091,7317.497,534.189689,TOTAL,260922,7145,525.12,,62.64,59.63,2.80%
MOET & CHANDON NECTAR IMP SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8811055125,MOET & CHANDON,WHITE,750ML,Latest 13 Wks,2119597.84,1952937.903,2829.919,2734.906,33959.028,32818.875,0.03967,0.03987,534307.4968,261185.275,5520.946,383.9193211,TOTAL,260997,5721,380.31,,62.42,59.51,2.11%
MOET & CHANDON NECTAR IMP SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8811055125,MOET & CHANDON,WHITE,750ML,Latest 4 Wks,586010.086,538540.83,781.559,744.521,9378.712,8934.25,0.02338,0.02443,250645.8879,261443.248,2783.384,210.5387133,TOTAL,261123,3508,216.91,,62.48,60.28,1.06%
PERRIER JOUET GRAND BRUT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,1098601035,PERRIER JOUET,WHITE,750ML,Latest 52 Wks,8198354.924,8037030.776,10801.869,11646.097,129622.439,139753.17,0.15121,0.14956,542183.3823,260960.495,8096.812,1012.541099,TOTAL,260885,7994,1016.49,,63.25,57.51,3.10%
